studyid,obsid,lnwtp,wlfresh,lnyear,lninc,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,canada
101,1011,5.594513542,1,2.89,12.03153528,0,0,1,1,0,1,1,0,0,2499,0,0,0,0,0,0
102,1021,3.616836278,0,2.197,11.52053,0,1,0,0,1,0,1,0,11374,11407,0,1,1,0,0,0
102,1022,3.814343403,0,2.197,11.52053,0,1,0,0,1,0,1,0,11343,11407,0,1,1,0,0,0
102,1023,3.978889728,0,2.197,11.52053,0,1,0,0,1,0,1,0,11306,11407,0,1,1,0,0,0
102,1024,4.152968389,0,2.197,11.52053,0,1,0,0,1,0,1,0,11272,11407,0,1,1,0,0,0
104,1041,0.958620416,1,0.693,11.19052484,0,0,1,0,0,1,1,0,3468,3968,1,0,0,0,1,0
104,1042,2.276672333,1,0.693,11.19052484,0,0,1,0,0,1,1,1,69580,70080,1,0,0,0,1,0
104,1043,1.992232162,1,0.693,11.19052484,0,0,1,0,0,1,1,1,21716,22216,1,0,0,0,1,0
104,1044,3.227771208,1,0.693,11.19052484,0,0,1,0,0,1,1,1,908,1408,1,0,0,0,1,0
106,1061,5.020513441,1,1.792,11.34252743,0,0,1,1,1,1,1,0,10000,13000,0,1,0,1,1,0
108,1082,5.518103148,0,3.219,11.58153078,1,0,0,0,1,1,0,0,32362,33862,0,1,1,0,0,0
108,1084,6.724018357,0,3.219,11.58153078,1,0,0,0,1,1,0,0,522667,524167,0,1,1,0,0,0
109,1091,5.781395095,0,2.565,11.52053,0,1,0,0,1,1,1,0,11404,11407,0,0,1,0,0,0
109,1092,5.837629821,0,2.565,11.52053,0,1,0,0,1,1,1,0,11402,11407,0,0,1,0,0,0
109,1093,5.885820774,0,2.565,11.52053,0,1,0,0,1,1,1,0,11400,11407,0,0,1,0,0,0
109,1094,5.938017515,0,2.565,11.52053,0,1,0,0,1,1,1,0,11398,11407,0,0,1,0,0,0
109,1095,6.019304237,0,2.565,11.52053,0,1,0,0,1,1,1,0,11395,11407,0,0,1,0,0,0
110,1101,6.822175118,0,3.045,11.27452632,1,0,0,0,1,1,1,0,1381022,1829022,0,0,0,0,0,0
113,1131,4.483028996,1,1.792,11.56053052,0,0,1,0,0,1,0,1,219890,220000,0,1,0,1,0,0
114,1141,2.413885231,1,2.485,11.86953389,0,1,0,1,0,0,1,1,5838,5867,0,1,1,0,0,0
114,1142,2.729420305,1,2.485,11.86953389,0,1,0,1,0,0,1,1,5822,5867,0,1,1,0,0,0
114,1143,3.010084917,1,2.485,11.86953389,0,1,0,1,0,0,1,1,5807,5867,0,1,1,0,0,0
115,1151,5.884816889,1,0.693,11.56253055,0,0,0,0,0,0,1,0,27000,85000,0,0,0,0,0,0
115,1152,6.387347484,1,0.693,11.56253055,0,0,0,0,0,0,1,0,85000,125000,0,0,0,0,0,0
116,1161,7.895175852,0,3.135,11.46952931,0,0,0,0,1,1,0,0,2131000,2382000,0,1,0,1,0,0
116,1162,7.239694083,0,3.135,11.46952931,0,0,0,0,1,1,0,0,2131000,2382000,0,1,1,0,0,0
117,1171,4.166252056,1,2.079,11.31052692,0,0,1,0,0,0,0,0,34000,50000,0,0,0,0,0,0
117,1172,4.044509119,1,2.079,11.31052692,0,0,1,0,0,0,0,0,34000,75000,0,0,0,0,0,0
117,1173,4.170338582,1,2.079,11.31052692,0,0,1,0,0,0,0,0,34000,100000,0,0,0,0,0,0
119,1191,4.607854888,1,2.833,11.5355302,0,0,1,1,0,0,1,0,9000,10125,1,1,0,0,1,0
120,1201,3.211933509,1,0,11.48752956,0,0,1,0,1,1,1,1,36000,41000,1,0,0,0,1,0
122,1221,5.010420722,1,1.609,11.61453119,1,0,0,1,0,0,0,0,212378,212708,0,0,0,0,0,0
124,1241,5.434617629,0,3.296,11.96353473,0,1,0,0,0,1,1,0,23860,24860,0,0,1,1,0,0
