studyid,obsid,lnwtp,wtp,wlfresh,lnyear,lninc_cad2017,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,canada,q0alt,q1alt
101,1011,5.265,193.4463088,1,2.89,11.74636426,0,0,1,1,0,1,1,0,0,2499,0,0,0,0,0,0,0,2499
102,1021,3.319,27.63270403,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11374,11407,0,1,1,0,0,0,11374,11407
102,1022,3.51,33.44826778,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11343,11407,0,1,1,0,0,0,11343,11407
102,1023,3.67,39.25190586,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11306,11407,0,1,1,0,0,0,11306,11407
102,1024,3.84,46.52547444,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11272,11407,0,1,1,0,0,0,11272,11407
104,1041,1.053,2.866236944,1,0.693,10.90536426,0,0,1,0,0,1,1,0,3468,3968,1,0,0,0,1,0,3468,3968
104,1042,2.076,7.972514989,1,0.693,10.90536426,0,0,1,0,0,1,1,1,69580,70080,1,0,0,0,1,0,69580,70080
104,1043,1.832,6.246366908,1,0.693,10.90536426,0,0,1,0,0,1,1,1,21716,22216,1,0,0,0,1,0,21716,22216
104,1044,2.947,19.04872176,1,0.693,10.90536426,0,0,1,0,0,1,1,1,908,1408,1,0,0,0,1,0,908,1408
106,1061,4.695,109.3988086,1,1.792,11.05736426,0,0,1,1,1,1,1,0,10000,13000,0,1,0,1,1,0,10000,13000
108,1082,5.189,179.2891741,0,3.219,11.29636426,1,0,0,0,1,1,0,0,32362,33862,0,1,1,0,0,0,32362,33862
108,1084,6.391,596.4527343,0,3.219,11.29636426,1,0,0,0,1,1,0,0,522667,524167,0,1,1,0,0,0,522667,524167
109,1091,5.451,232.9910405,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11404,11407,0,0,1,0,0,0,0,3
109,1092,5.507,246.4107848,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11402,11407,0,0,1,0,0,0,0,5
109,1093,5.555,258.5269645,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11400,11407,0,0,1,0,0,0,0,7
109,1094,5.607,272.3260332,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11398,11407,0,0,1,0,0,0,0,9
109,1095,5.688,295.3024248,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11395,11407,0,0,1,0,0,0,0,12
110,1101,6.489,657.865169,0,3.045,10.98936426,1,0,0,0,1,1,1,0,1381022,1829022,0,0,0,0,0,0,1381022,1829022
113,1131,4.164,64.32832195,1,1.792,11.27536426,0,0,1,0,0,1,0,1,219890,220000,0,1,0,1,0,0,219890,220000
114,1141,2.197,8.997979031,1,2.485,11.58436426,0,1,0,1,0,0,1,1,5838,5867,0,1,1,0,0,0,0,29
114,1142,2.482,11.96517085,1,2.485,11.58436426,0,1,0,1,0,0,1,1,5822,5867,0,1,1,0,0,0,0,45
114,1143,2.742,15.51799006,1,2.485,11.58436426,0,1,0,1,0,0,1,1,5807,5867,0,1,1,0,0,0,0,60
115,1151,5.554,258.2685668,1,0.693,11.27736426,0,0,0,0,0,0,1,0,27000,85000,0,0,0,0,0,0,27000,85000
115,1152,6.055,426.2389055,1,0.693,11.27736426,0,0,0,0,0,0,1,0,85000,125000,0,0,0,0,0,0,85000,125000
116,1161,7.561,1921.766319,0,3.135,11.18436426,0,0,0,0,1,1,0,0,2131000,2382000,0,1,0,1,0,0,2131000,2382000
116,1162,6.906,998.2462606,0,3.135,11.18436426,0,0,0,0,1,1,0,0,2131000,2382000,0,1,1,0,0,0,2131000,2382000
117,1171,3.853,47.1342541,1,2.079,11.02536426,0,0,1,0,0,0,0,0,34000,50000,0,0,0,0,0,0,34000,50000
117,1172,3.734,41.84615847,1,2.079,11.02536426,0,0,1,0,0,0,0,0,34000,75000,0,0,0,0,0,0,34000,75000
117,1173,3.857,47.3231687,1,2.079,11.02536426,0,0,1,0,0,0,0,0,34000,100000,0,0,0,0,0,0,34000,100000
119,1191,4.287,72.74789712,1,2.833,11.25036426,0,0,1,1,0,0,1,0,9000,10125,1,1,0,0,1,0,9000,10125
120,1201,2.932,18.76512324,1,0,11.20236426,0,0,1,0,1,1,1,1,36000,41000,1,0,0,0,1,0,36000,41000
122,1221,4.685,108.3102723,1,1.609,11.32936426,1,0,0,1,0,0,0,0,212378,212708,0,0,0,0,0,0,0,330
124,1241,5.106,165.0089971,0,3.296,11.67836426,0,1,0,0,0,1,1,0,23860,24860,0,0,1,1,0,0,23860,24860
