canada,variable,mean,sd,min,med,max,n.valid,pct.valid
0,ce,0.47368421052631576,0.506009406240056,0,0,1,38,100
0,cult,0.7631578947368421,0.4308514841827461,0,1,1,38,100
0,forest,0.2894736842105263,0.45960586739381004,0,0,1,38,100
0,lninc_cad2017,11.262153733684212,0.22685918455273446,10.90536426,11.23536426,11.74636426,38,100
0,lnwtp,4.343315789473684,1.5075832836169454,1.053,4.2255,7.561,38,100
0,lnyear,2.109947368421053,0.9123999226088697,0,2.197,3.296,38,100
0,local,0.18421052631578946,0.39285945206319167,0,0,1,38,100
0,lumpsum,0.4473684210526316,0.5038966228735666,0,0,1,38,100
0,median,0.18421052631578946,0.39285945206319167,0,0,1,38,100
0,nema,0.39473684210526316,0.4953553834402849,0,0,1,38,100
0,nmw,0.3157894736842105,0.4710691208760756,0,0,1,38,100
0,nrev,0.23684210526315788,0.4308514841827461,0,0,1,38,100
0,obsid,1127.842105263158,76.35108322061707,1011,1136,1253,38,100
0,prov,0.5,0.5067117097095317,0,0.5,1,38,100
0,q0,189587.68421052632,520204.7509096574,0,11403,2131000,38,100
0,q0alt,182039.15789473685,521780.3049316532,0,11324.5,2131000,38,100
0,q1,221299.97368421053,598505.611686735,1408,12203.5,2382000,38,100
0,q1alt,213751.44736842104,600282.0336258479,3,11407,2382000,38,100
0,reg,0.631578947368421,0.4888515295293514,0,1,1,38,100
0,sagulf,0.18421052631578946,0.39285945206319167,0,0,1,38,100
0,studyid,112.57894736842105,7.660469179574388,101,113.5,125,38,100
0,volunt,0.23684210526315788,0.4308514841827461,0,0,1,38,100
0,wlfresh,0.5526315789473685,0.5038966228735666,0,1,1,38,100
0,wtp,207.9508312421579,354.23756298562694,2.866236944,68.538109535,1921.766319,38,100
1,ce,0.05,0.22360679774997896,0,0,1,20,100
1,cult,0,0,0,0,0,20,100
1,forest,0.2,0.41039134083406165,0,0,1,20,100
1,lninc_cad2017,11.277336227,0.1998225816424222,10.90227951,11.33738089,11.48863277,20,100
1,lnwtp,4.68621409075,1.901649256935534,0,5.463278155499999,7.014814351,20,100
1,lnyear,1.3077,0.0763303761014544,1.146,1.322,1.415,20,100
1,local,0.75,0.4442616583193193,0,1,1,20,100
1,lumpsum,0.15,0.36634754853252327,0,0,1,20,100
1,median,0.2,0.41039134083406165,0,0,1,20,100
1,nema,0,0,0,0,0,20,100
1,nmw,0,0,0,0,0,20,100
1,nrev,0.85,0.36634754853252327,0,1,1,20,100
1,obsid,1283.25,13.10634639361686,1261,1282.5,1304,20,100
1,prov,0.35,0.4893604849295929,0,0,1,20,100
1,q0,339368.55,465570.59288604185,0,11997,988422,20,100
1,q0alt,NA,NA,NA,NA,NA,0,NA
1,q1,496242.4,715341.4720723022,5884,14885,1976843,20,100
1,q1alt,NA,NA,NA,NA,NA,0,NA
1,reg,0.8,0.41039134083406165,0,1,1,20,100
1,sagulf,0,0,0,0,0,20,100
1,studyid,128.05,1.3168942730211068,126,128,130,20,100
1,volunt,0.15,0.36634754853252327,0,0,1,20,100
1,wlfresh,1,0,1,1,1,20,100
1,wtp,288.297,322.7462527337602,-5.25,235.885,1113,20,100
