studyid,obsid,lnwtp,wlfresh,lnyear,lninc,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,q0alt,q1alt,canada
101,1011,5.2649188,1,2.8903718,11.48411,0,0,1,1,0,1,1,0,0,2499,0,0,0,0,0,0,2499,0
102,1021,3.3185289,0,2.1972246,10.973315,0,1,0,0,1,0,1,0,11374,11407,0,1,1,0,0,11374,11407,0
102,1022,3.509584,0,2.1972246,10.973315,0,1,0,0,1,0,1,0,11343,11407,0,1,1,0,0,11343,11407,0
102,1023,3.6701894,0,2.1972246,10.973315,0,1,0,0,1,0,1,0,11306,11407,0,1,1,0,0,11306,11407,0
102,1024,3.8400474,0,2.1972246,10.973315,0,1,0,0,1,0,1,0,11272,11407,0,1,1,0,0,11272,11407,0
104,1041,1.052951,1,0.69314718,10.642729,0,0,1,0,0,1,1,0,3468,3968,1,0,0,0,1,3468,3968,0
104,1042,2.075609,1,0.69314718,10.642729,0,0,1,0,0,1,1,1,69580,70080,1,0,0,0,1,69580,70080,0
104,1043,1.8322099,1,0.69314718,10.642729,0,0,1,0,0,1,1,1,21716,22216,1,0,0,0,1,21716,22216,0
104,1044,2.9466479,1,0.69314718,10.642729,0,0,1,0,0,1,1,1,908,1408,1,0,0,0,1,908,1408,0
106,1061,4.6952591,1,1.7917595,10.794652,0,0,1,1,1,1,1,0,10000,13000,0,1,0,1,1,10000,13000,0
108,1082,5.1889806,0,3.2188759,11.034488,1,0,0,0,1,1,0,0,32362,33862,0,1,1,0,0,32362,33862,0
108,1084,6.3905754,0,3.2188759,11.034488,1,0,0,0,1,1,0,0,522667,524167,0,1,1,0,0,522667,524167,0
109,1091,5.4506812,0,2.5649493,10.973315,0,1,0,0,1,1,1,0,11404,11407,0,0,1,0,0,0,3,0
109,1092,5.5072145,0,2.5649493,10.973315,0,1,0,0,1,1,1,0,11402,11407,0,0,1,0,0,0,5,0
109,1093,5.5554748,0,2.5649493,10.973315,0,1,0,0,1,1,1,0,11400,11407,0,0,1,0,0,0,7,0
109,1094,5.6065249,0,2.5649493,10.973315,0,1,0,0,1,1,1,0,11398,11407,0,0,1,0,0,0,9,0
109,1095,5.6877151,0,2.5649493,10.973315,0,1,0,0,1,1,1,0,11395,11407,0,0,1,0,0,0,12,0
110,1101,6.4889479,0,3.0445225,10.726546,1,0,0,0,1,1,1,0,1381022,1829022,0,0,0,0,0,1381022,1829022,0
113,1131,4.1637449,1,1.7917595,11.012933,0,0,1,0,0,1,0,1,219890,220000,0,1,0,1,0,219890,220000,0
114,1141,2.1972654,1,2.4849067,11.322495,0,1,0,1,0,0,1,1,5838,5867,0,1,1,0,0,0,29,0
114,1142,2.4823668,1,2.4849067,11.322495,0,1,0,1,0,0,1,1,5822,5867,0,1,1,0,0,0,45,0
114,1143,2.741878,1,2.4849067,11.322495,0,1,0,1,0,0,1,1,5807,5867,0,1,1,0,0,0,60,0
115,1151,5.5536795,1,0.69314718,11.015438,0,0,0,0,0,0,1,0,27000,85000,0,0,0,0,0,27000,85000,0
115,1152,6.0552545,1,0.69314718,11.015438,0,0,0,0,0,0,1,0,85000,125000,0,0,0,0,0,85000,125000,0
116,1161,7.561286,0,3.1354942,10.9224,0,0,0,0,1,1,0,0,2131000,2382000,0,1,0,1,0,2131000,2382000,0
116,1162,6.9056907,0,3.1354942,10.9224,0,0,0,0,1,1,0,0,2131000,2382000,0,1,1,0,0,2131000,2382000,0
117,1171,3.8532546,1,2.0794415,10.763191,0,0,1,0,0,0,0,0,34000,50000,0,0,0,0,0,34000,50000,0
117,1172,3.7337754,1,2.0794415,10.763191,0,0,1,0,0,0,0,0,34000,75000,0,0,0,0,0,34000,75000,0
117,1173,3.857183,1,2.0794415,10.763191,0,0,1,0,0,0,0,0,34000,100000,0,0,0,0,0,34000,100000,0
119,1191,4.2869635,1,2.8332133,10.988388,0,0,1,1,0,0,1,0,9000,10125,1,1,0,0,1,9000,10125,0
120,1201,2.9319217,1,0,10.939591,0,0,1,0,1,1,1,1,36000,41000,1,0,0,0,1,36000,41000,0
122,1221,4.6851268,1,1.6094379,11.066951,1,0,0,1,0,0,0,0,212378,212708,0,0,0,0,0,0,330,0
124,1241,5.1056738,0,3.2958369,11.415592,0,1,0,0,0,1,1,0,23860,24860,0,0,1,1,0,23860,24860,0
124,1242,5.1907616,0,3.2958369,11.415592,0,1,0,0,0,1,1,0,23860,26860,0,0,1,1,0,23860,26860,0
124,1243,5.2715063,0,3.2958369,11.415592,0,1,0,0,0,1,1,0,23860,28860,0,0,1,1,0,23860,28860,0
125,1251,3.5857387,1,1.3862944,11.073629,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,6000,8500,0
125,1252,3.3065202,1,1.3862944,11.041962,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,6000,8500,0
125,1253,3.4910381,1,1.3862944,11.087916,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,6000,8500,0
126,1261,5.65350514,1,2.890371758,10.95954023,0,0,0,0,0,1,0,0,949184,1044102,0,0,0,0,0,,,1
126,1262,5.675358805,1,2.890371758,10.95954023,0,0,0,0,0,1,0,0,949184,1083087,0,0,0,0,0,,,1
126,1263,5.697296628,1,2.890371758,10.95954023,0,0,0,0,0,1,0,0,949184,1122071,0,0,0,0,0,,,1
126,1264,5.739063977,1,2.890371758,10.95954023,0,0,0,0,0,1,0,0,949184,1200040,0,0,0,0,0,,,1
126,1265,5.817760954,1,2.890371758,10.95954023,0,0,0,0,0,1,0,0,949184,1355977,0,0,0,0,0,,,1
127,1271,6.065099141,1,3.135494216,10.92076324,0,0,0,0,0,1,1,0,988422,1976843,0,0,1,0,0,,,1
127,1272,6.028848985,1,3.135494216,10.92076324,0,0,0,0,0,1,1,0,988422,1976843,0,0,0,0,0,,,1
128,1281,5.42231278,1,2.944438979,11.1989105,0,0,0,1,0,1,0,0,11997,14520,0,0,0,0,0,,,1
128,1282,4.836958243,1,2.944438979,11.1989105,0,0,0,1,0,1,0,0,11997,14520,0,0,0,0,0,,,1
128,1283,4.862065453,1,2.944438979,11.1989105,0,0,0,1,0,1,0,0,11997,15520,0,0,0,0,0,,,1
129,1291,2.216502448,1,7.607381426,11.36718533,0,1,0,1,1,1,1,1,4000,4200,0,0,1,1,0,,,0
130,1301,0.137060907,1,7.607381426,11.36718533,0,1,0,1,1,1,1,1,4000,4047,0,0,1,0,0,,,0
131,1311,1.914607608,1,7.60190196,10.78127234,0,0,0,1,1,1,1,1,0,10378.2,1,1,0,1,0,,,1
