studyid,obsid,lnwtp,wlfresh,lnyear,lninc,sagulf,nema,nmw,local,prov,reg,cult,forest,q0,q1,volunt,lumpsum,ce,nrev,median,canada
101,1011,5.265,1,2.89,11.74636426,0,0,1,1,0,1,1,0,0,2499,0,0,0,0,0,0
102,1021,3.319,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11374,11407,0,1,1,0,0,0
102,1022,3.51,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11343,11407,0,1,1,0,0,0
102,1023,3.67,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11306,11407,0,1,1,0,0,0
102,1024,3.84,0,2.197,11.23536426,0,1,0,0,1,0,1,0,11272,11407,0,1,1,0,0,0
104,1041,1.053,1,0.693,10.90536426,0,0,1,0,0,1,1,0,3468,3968,1,0,0,0,1,0
104,1042,2.076,1,0.693,10.90536426,0,0,1,0,0,1,1,1,69580,70080,1,0,0,0,1,0
104,1043,1.832,1,0.693,10.90536426,0,0,1,0,0,1,1,1,21716,22216,1,0,0,0,1,0
104,1044,2.947,1,0.693,10.90536426,0,0,1,0,0,1,1,1,908,1408,1,0,0,0,1,0
106,1061,4.695,1,1.792,11.05736426,0,0,1,1,1,1,1,0,10000,13000,0,1,0,1,1,0
108,1082,5.189,0,3.219,11.29636426,1,0,0,0,1,1,0,0,32362,33862,0,1,1,0,0,0
108,1084,6.391,0,3.219,11.29636426,1,0,0,0,1,1,0,0,522667,524167,0,1,1,0,0,0
109,1091,5.451,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11404,11407,0,0,1,0,0,0
109,1092,5.507,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11402,11407,0,0,1,0,0,0
109,1093,5.555,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11400,11407,0,0,1,0,0,0
109,1094,5.607,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11398,11407,0,0,1,0,0,0
109,1095,5.688,0,2.565,11.23536426,0,1,0,0,1,1,1,0,11395,11407,0,0,1,0,0,0
110,1101,6.489,0,3.045,10.98936426,1,0,0,0,1,1,1,0,1381022,1829022,0,0,0,0,0,0
113,1131,4.164,1,1.792,11.27536426,0,0,1,0,0,1,0,1,219890,220000,0,1,0,1,0,0
114,1141,2.197,1,2.485,11.58436426,0,1,0,1,0,0,1,1,5838,5867,0,1,1,0,0,0
114,1142,2.482,1,2.485,11.58436426,0,1,0,1,0,0,1,1,5822,5867,0,1,1,0,0,0
114,1143,2.742,1,2.485,11.58436426,0,1,0,1,0,0,1,1,5807,5867,0,1,1,0,0,0
115,1151,5.554,1,0.693,11.27736426,0,0,0,0,0,0,1,0,27000,85000,0,0,0,0,0,0
115,1152,6.055,1,0.693,11.27736426,0,0,0,0,0,0,1,0,85000,125000,0,0,0,0,0,0
116,1161,7.561,0,3.135,11.18436426,0,0,0,0,1,1,0,0,2131000,2382000,0,1,0,1,0,0
116,1162,6.906,0,3.135,11.18436426,0,0,0,0,1,1,0,0,2131000,2382000,0,1,1,0,0,0
117,1171,3.853,1,2.079,11.02536426,0,0,1,0,0,0,0,0,34000,50000,0,0,0,0,0,0
117,1172,3.734,1,2.079,11.02536426,0,0,1,0,0,0,0,0,34000,75000,0,0,0,0,0,0
117,1173,3.857,1,2.079,11.02536426,0,0,1,0,0,0,0,0,34000,100000,0,0,0,0,0,0
119,1191,4.287,1,2.833,11.25036426,0,0,1,1,0,0,1,0,9000,10125,1,1,0,0,1,0
120,1201,2.932,1,0,11.20236426,0,0,1,0,1,1,1,1,36000,41000,1,0,0,0,1,0
122,1221,4.685,1,1.609,11.32936426,1,0,0,1,0,0,0,0,212378,212708,0,0,0,0,0,0
124,1241,5.106,0,3.296,11.67836426,0,1,0,0,0,1,1,0,23860,24860,0,0,1,1,0,0
124,1242,5.191,0,3.296,11.67836426,0,1,0,0,0,1,1,0,23860,26860,0,0,1,1,0,0
124,1243,5.272,0,3.296,11.67836426,0,1,0,0,0,1,1,0,23860,28860,0,0,1,1,0,0
125,1251,3.586,1,1.386,11.33636426,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,0
125,1252,3.307,1,1.386,11.30436426,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,0
125,1253,3.491,1,1.386,11.35036426,1,0,0,0,1,1,1,1,6000,8500,1,1,0,1,0,0
126,1261,6.226536669,1,1.415,11.30958454,0,0,0,1,0,1,0,0,988422,1976843,0,0,1,1,0,1
126,1262,6.180016654,1,1.415,11.30958454,0,0,0,1,0,1,0,0,988422,1976843,0,0,0,1,0,1
127,1271,3.589059119,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11997,14520,0,0,0,1,0,1
127,1272,5.451767801,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11997,14520,0,0,0,1,0,1
127,1273,7.014814351,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11997,14520,0,0,0,1,0,1
127,1274,3.625140613,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11997,15250,0,0,0,1,0,1
127,1275,5.47478851,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11997,15250,0,0,0,1,0,1
127,1276,6.992757973,1,1.342,11.36093911,0,0,0,1,0,1,0,0,11997,15250,0,0,0,1,0,1
128,1281,5.763088581,1,1.342,11.33738089,0,0,0,0,0,1,0,0,945189,1044702,0,0,0,1,0,1
128,1282,5.784932262,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1084782,0,0,0,1,0,1
128,1283,5.806248806,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1125461,0,0,0,1,0,1
128,1284,5.848632898,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1206820,0,0,0,1,0,1
128,1285,5.928524747,1,1.322,11.33738089,0,0,0,0,0,1,0,0,945189,1355977,0,0,0,1,0,1
129,1291,4.990296523,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1
129,1292,4.446291681,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1
129,1293,4.330470148,1,1.146,11.48863277,0,0,0,1,1,1,0,0,4200,8400,1,1,0,0,0,1
130,1301,2.841998174,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,5884,0,0,0,1,1,1
130,1302,1.778336449,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,11300,0,0,0,1,1,1
130,1303,0,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,7408,0,0,0,1,1,1
130,1304,1.650579856,1,1.301,10.90227951,0,0,0,1,1,0,0,1,0,14318,0,0,0,1,1,1
131,1311,2.527702889,1,7.606884531,11.48863277,0,0,0,0,1,1,1,1,1307159,1413412,0,0,1,1,0,1
131,1312,3.230280058,1,7.606884531,11.48863277,0,0,0,0,1,1,1,1,1307159,1616034,0,0,1,1,0,1
