,lnyear,lninc,local,prov,reg,cult,forest,volump,lumpsum
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
1,3.5,11.40087596,1,1,1,1,0,1,0
