,,whole,,,usa,,,,canada,,,
variable,mean,sd,min,max,mean,sd,min,max,mean,sd,min,max
canada,0.37,0.49,0.00,1.00,,,,,,,,
ce,0.35,0.48,0.00,1.00,0.47,0.51,0.00,1.00,0.14,0.35,0.00,1.00
cult,0.52,0.50,0.00,1.00,0.76,0.43,0.00,1.00,0.09,0.29,0.00,1.00
forest,0.28,0.45,0.00,1.00,0.29,0.46,0.00,1.00,0.27,0.46,0.00,1.00
lninc,11.27,0.22,10.90,11.75,11.26,0.23,10.91,11.75,11.30,0.20,10.90,11.49
lnwtp,4.41,1.64,0.00,7.56,4.34,1.51,1.05,7.56,4.52,1.89,0.00,7.01
lnyear,2.03,1.33,0.00,7.61,2.11,0.91,0.00,3.30,1.88,1.85,1.15,7.61
local,0.37,0.49,0.00,1.00,0.18,0.39,0.00,1.00,0.68,0.48,0.00,1.00
lumpsum,0.33,0.48,0.00,1.00,0.45,0.50,0.00,1.00,0.14,0.35,0.00,1.00
median,0.18,0.39,0.00,1.00,0.18,0.39,0.00,1.00,0.18,0.39,0.00,1.00
nema,0.25,0.44,0.00,1.00,0.39,0.50,0.00,1.00,0.00,0.00,0.00,0.00
nmw,0.20,0.40,0.00,1.00,0.32,0.47,0.00,1.00,0.00,0.00,0.00,0.00
nrev,0.47,0.50,0.00,1.00,0.24,0.43,0.00,1.00,0.86,0.35,0.00,1.00
obsid,1185.77,98.13,1011.00,1312.00,1127.84,76.35,1011.00,1253.00,1285.82,14.98,1261.00,1312.00
prov,0.47,0.50,0.00,1.00,0.50,0.51,0.00,1.00,0.41,0.50,0.00,1.00
q0,276767.02,530775.69,0.00,2131000.00,189587.68,520204.75,0.00,2131000.00,427349.50,526502.66,0.00,1307159.00
q1,356061.55,673530.12,1408.00,2382000.00,221299.97,598505.61,1408.00,2382000.00,588831.55,744154.61,5884.00,1976843.00
reg,0.70,0.46,0.00,1.00,0.63,0.49,0.00,1.00,0.82,0.39,0.00,1.00
sagulf,0.12,0.32,0.00,1.00,0.18,0.39,0.00,1.00,0.00,0.00,0.00,0.00
studyid,118.35,9.80,101.00,131.00,112.58,7.66,101.00,125.00,128.32,1.52,126.00,131.00
volunt,0.20,0.40,0.00,1.00,0.24,0.43,0.00,1.00,0.14,0.35,0.00,1.00
wlfresh,0.72,0.45,0.00,1.00,0.55,0.50,0.00,1.00,1.00,0.00,1.00,1.00
