,whole,,,,saline,,,,fresh,,,
variable,mean,sd,min,max,mean,sd,min,max,mean,sd,min,max
canada,0.37,0.49,0.00,1.00,0.00,0.00,0.00,0.00,0.51,0.51,0.00,1.00
ce,0.35,0.48,0.00,1.00,0.88,0.33,0.00,1.00,0.14,0.35,0.00,1.00
cult,0.52,0.50,0.00,1.00,0.76,0.44,0.00,1.00,0.42,0.50,0.00,1.00
forest,0.28,0.45,0.00,1.00,0.00,0.00,0.00,0.00,0.40,0.49,0.00,1.00
lninc,11.27,0.22,10.90,11.75,11.30,0.19,10.99,11.68,11.26,0.23,10.90,11.75
lnwtp,4.41,1.64,0.00,7.56,5.31,1.19,3.32,7.56,4.05,1.67,0.00,7.01
lnyear,2.03,1.33,0.00,7.61,2.78,0.44,2.20,3.30,1.73,1.44,0.00,7.61
local,0.37,0.49,0.00,1.00,0.00,0.00,0.00,0.00,0.51,0.51,0.00,1.00
lumpsum,0.33,0.48,0.00,1.00,0.47,0.51,0.00,1.00,0.28,0.45,0.00,1.00
median,0.18,0.39,0.00,1.00,0.00,0.00,0.00,0.00,0.26,0.44,0.00,1.00
nema,0.25,0.44,0.00,1.00,0.71,0.47,0.00,1.00,0.07,0.26,0.00,1.00
nmw,0.20,0.40,0.00,1.00,0.00,0.00,0.00,0.00,0.28,0.45,0.00,1.00
nrev,0.47,0.50,0.00,1.00,0.24,0.44,0.00,1.00,0.56,0.50,0.00,1.00
obsid,1185.77,98.13,1011.00,1312.00,1110.06,75.50,1021.00,1243.00,1215.70,90.10,1011.00,1312.00
prov,0.47,0.50,0.00,1.00,0.82,0.39,0.00,1.00,0.33,0.47,0.00,1.00
q0,276767.02,530775.69,0.00,2131000.00,374819.12,744912.88,11272.00,2131000.00,238002.23,423006.98,0.00,1307159.00
q1,356061.55,673530.12,1408.00,2382000.00,431429.06,859075.92,11407.00,2382000.00,326265.09,594057.93,1408.00,1976843.00
reg,0.70,0.46,0.00,1.00,0.76,0.44,0.00,1.00,0.67,0.47,0.00,1.00
sagulf,0.12,0.32,0.00,1.00,0.18,0.39,0.00,1.00,0.09,0.29,0.00,1.00
studyid,118.35,9.80,101.00,131.00,110.76,7.58,102.00,124.00,121.35,8.98,101.00,131.00
volunt,0.20,0.40,0.00,1.00,0.00,0.00,0.00,0.00,0.28,0.45,0.00,1.00
wlfresh,0.72,0.45,0.00,1.00,,,,,,,,
