"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-8.73,7.98,-24.24,-8.83,7.16,1,8649
"beta[2]",-0.07,0.17,-0.39,-0.07,0.26,1,13947
"beta[3]",0.95,0.71,-0.46,0.96,2.32,1,8601
"beta[4]",1.34,0.47,0.4,1.34,2.28,1,13148
"beta[5]",-2.28,0.55,-3.36,-2.27,-1.2,1,12568
"beta[6]",1.58,0.55,0.49,1.57,2.66,1,14383
"beta[7]",-0.27,0.61,-1.47,-0.27,0.96,1,12011
"beta[8]",0.98,0.46,0.06,0.98,1.89,1,15113
"beta[9]",-0.91,0.65,-2.19,-0.91,0.37,1,12410
"beta[10]",1.73,0.55,0.65,1.72,2.82,1,12321
"beta[11]",-0.43,0.82,-2.04,-0.42,1.2,1,10154
"gamma",0,0,0,0,0,1,14545
"sigma",1.02,0.16,0.77,1,1.38,1,9795
