"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-8.62,8.08,-24.34,-8.7,7.41,1,8724
"beta[2]",-0.07,0.17,-0.41,-0.08,0.27,1,13629
"beta[3]",0.94,0.72,-0.49,0.95,2.34,1,8678
"beta[4]",1.3,0.5,0.29,1.3,2.29,1,12463
"beta[5]",-2.23,0.56,-3.34,-2.23,-1.14,1,12544
"beta[6]",1.52,0.55,0.45,1.51,2.63,1,13848
"beta[7]",-0.25,0.63,-1.49,-0.25,0.99,1,11766
"beta[8]",0.99,0.47,0.05,0.99,1.88,1,15889
"beta[9]",-0.92,0.66,-2.23,-0.91,0.38,1,12381
"beta[10]",1.74,0.55,0.66,1.74,2.86,1,12522
"beta[11]",-0.47,0.86,-2.17,-0.46,1.24,1,9658
"gamma",0,0,0,0,0,1,12729
"sigma",1.05,0.16,0.79,1.03,1.4,1,9426
