"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-5.7,8.26,-21.62,-5.88,10.78,1,9078
"beta[2]",0.02,0.18,-0.33,0.02,0.38,1,14611
"beta[3]",1.26,0.75,-0.25,1.28,2.72,1,8956
"beta[4]",1,0.75,-0.48,0.99,2.48,1,15029
"beta[5]",1.11,0.55,0.02,1.11,2.19,1,11684
"beta[6]",-2.93,0.6,-4.13,-2.93,-1.74,1,10500
"beta[7]",1.81,0.53,0.76,1.81,2.87,1,13684
"beta[8]",0,0.7,-1.37,0,1.4,1,10578
"beta[9]",0.57,0.48,-0.39,0.57,1.51,1,14828
"beta[10]",-0.68,0.64,-1.94,-0.69,0.59,1,13280
"beta[11]",1.92,0.59,0.78,1.93,3.08,1,10878
"beta[12]",-0.36,0.92,-2.18,-0.36,1.45,1,7196
"gamma",-2.75,0.65,-4.06,-2.73,-1.49,1,11384
"sigma",1.15,0.15,0.89,1.13,1.49,1,10362
