"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-7.84,8.26,-23.74,-7.93,8.79,1,8292
"beta[2]",0.04,0.18,-0.32,0.04,0.39,1,13952
"beta[3]",0.83,0.76,-0.68,0.83,2.28,1,8153
"beta[4]",1.09,0.76,-0.41,1.09,2.6,1,13322
"beta[5]",1.19,0.53,0.15,1.19,2.24,1,12541
"beta[6]",-3.01,0.59,-4.17,-3.01,-1.84,1,10649
"beta[7]",1.87,0.54,0.82,1.87,2.93,1,12893
"beta[8]",0.07,0.71,-1.32,0.07,1.46,1,9592
"beta[9]",0.52,0.48,-0.45,0.52,1.46,1,14847
"beta[10]",-0.75,0.65,-2.06,-0.75,0.54,1,12433
"beta[11]",2.03,0.58,0.9,2.02,3.19,1,10866
"beta[12]",-0.29,0.9,-2.04,-0.3,1.48,1,7822
"gamma",0,0,0,0,0,1,17607
"sigma",1.14,0.15,0.89,1.13,1.48,1,11010
