"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-0.08,10.01,-19.39,-0.11,19.54,1,14917
"beta[2]",0.22,1.96,-3.61,0.22,4.03,1,12104
"beta[3]",0.82,1.08,-1.29,0.83,2.89,1,12283
"beta[4]",0.07,9.87,-19.7,0.16,19.39,1,21504
"beta[5]",0.19,0.76,-1.32,0.2,1.7,1,16303
"beta[6]",-1.51,7.09,-15.42,-1.52,12.29,1,13894
"beta[7]",1.59,7.83,-13.6,1.54,17.26,1,12428
"beta[8]",-0.15,9.85,-19.51,-0.11,19.17,1,15031
"beta[9]",-1.49,7.87,-16.8,-1.47,13.99,1,14267
"beta[10]",0.08,7.93,-15.5,0.08,15.57,1,15632
"beta[11]",0.2,7.92,-15.19,0.22,15.62,1,15470
"gamma",-3.39,0.61,-4.59,-3.39,-2.19,1,16709
"sigma",1.08,0.2,0.77,1.05,1.56,1,11107
