"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-5.97,8.32,-22,-6.12,10.67,1,5903
"beta[2]",-0.73,0.65,-1.96,-0.74,0.59,1,4469
"beta[3]",0.67,0.83,-0.99,0.68,2.24,1,5239
"beta[4]",0.75,0.56,-0.34,0.74,1.91,1,9417
"beta[5]",2.87,0.6,1.65,2.87,4.03,1,8019
"beta[6]",-2.66,0.77,-4.15,-2.67,-1.1,1,5259
"beta[7]",1.41,0.47,0.45,1.41,2.33,1,7331
"beta[8]",0.1,1.02,-1.85,0.07,2.2,1,4842
"beta[9]",0.87,0.45,-0.01,0.86,1.8,1,7077
"beta[10]",-0.41,0.55,-1.53,-0.4,0.65,1,9769
"beta[11]",1.84,0.71,0.41,1.86,3.2,1,5097
"gamma",0.01,0.01,0,0.01,0.02,1,4953
"sigma",0.63,0.16,0.4,0.6,1.02,1,4767
