"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-7.34,8.47,-23.52,-7.53,9.5,1,4995
"beta[2]",-0.38,0.68,-1.67,-0.41,1.03,1,3939
"beta[3]",0.72,0.82,-0.92,0.74,2.28,1,4285
"beta[4]",2.72,0.64,1.41,2.73,3.99,1,7117
"beta[5]",-1.85,0.71,-3.2,-1.87,-0.4,1,4819
"beta[6]",1.13,0.49,0.15,1.13,2.09,1,8480
"beta[7]",0.34,1.09,-1.72,0.31,2.59,1,4009
"beta[8]",0.99,0.48,0.07,0.98,1.97,1,7035
"beta[9]",-0.12,0.51,-1.15,-0.11,0.86,1,11135
"beta[10]",1.56,0.75,0.02,1.58,3.01,1,4706
"gamma",0.01,0.01,0,0.01,0.02,1,4573
"sigma",0.68,0.17,0.44,0.65,1.09,1,5121
