"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",0.3,9.92,-18.97,0.27,19.81,1,12562
"beta[2]",0.35,1.95,-3.44,0.35,4.23,1,9955
"beta[3]",0.27,1.06,-1.8,0.28,2.33,1,9526
"beta[4]",0.28,0.41,-0.53,0.28,1.09,1,13717
"beta[5]",-1.44,7.01,-15.16,-1.46,12.4,1,11274
"beta[6]",0.65,7.83,-14.8,0.59,16.07,1,10172
"beta[7]",-0.87,9.86,-20.3,-0.8,18.33,1,12051
"beta[8]",-1.5,7.68,-16.41,-1.51,13.55,1,11471
"beta[9]",-0.04,7.96,-15.68,-0.02,15.44,1,12799
"beta[10]",-0.01,7.97,-15.57,0.04,15.44,1,12083
"gamma",0,0,0,0,0,1,22655
"sigma",0.51,0.14,0.32,0.49,0.85,1,7476
