"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-8.31,9.47,-26.75,-8.39,10.21,1,9487
"beta[2]",-1.13,0.53,-2.15,-1.14,-0.06,1,12650
"beta[3]",1.06,0.87,-0.63,1.07,2.75,1,8952
"beta[4]",2.2,0.72,0.76,2.2,3.61,1,10996
"beta[5]",-3.56,0.7,-4.93,-3.56,-2.17,1,13022
"beta[6]",1.54,0.68,0.22,1.54,2.91,1,9996
"beta[7]",-0.37,0.81,-1.95,-0.38,1.22,1,11132
"beta[8]",1.08,0.67,-0.24,1.08,2.41,1,11326
"beta[9]",-1.13,0.92,-2.95,-1.12,0.71,1,10373
"beta[10]",3.09,0.8,1.51,3.09,4.69,1,12904
"beta[11]",-1.62,1.16,-3.92,-1.61,0.68,1,11006
"beta[12]",-0.21,0.76,-1.72,-0.2,1.29,1,9526
"beta[13]",-0.4,0.74,-1.87,-0.4,1.04,1,10392
"beta[14]",-1.42,0.99,-3.35,-1.42,0.55,1,10393
"gamma",0,0,0,0,0,1,15073
"sigma",1.14,0.16,0.87,1.12,1.51,1,9011
