"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-8.15,9.54,-26.86,-8.09,10.8,1,8836
"beta[2]",-1.13,0.53,-2.17,-1.14,-0.08,1,11965
"beta[3]",1.05,0.88,-0.69,1.04,2.76,1,8528
"beta[4]",2.2,0.69,0.82,2.2,3.57,1,11406
"beta[5]",-3.55,0.69,-4.91,-3.55,-2.19,1,12600
"beta[6]",1.55,0.68,0.22,1.54,2.89,1,11289
"beta[7]",-0.4,0.82,-2.01,-0.4,1.23,1,9930
"beta[8]",1.04,0.66,-0.26,1.04,2.34,1,11325
"beta[9]",-1.08,0.91,-2.87,-1.08,0.73,1,10217
"beta[10]",3.05,0.79,1.5,3.05,4.61,1,11366
"beta[11]",-1.5,1.15,-3.75,-1.51,0.77,1,10407
"beta[12]",-0.16,0.76,-1.66,-0.15,1.31,1,9620
"beta[13]",-0.41,0.72,-1.84,-0.4,0.97,1,10078
"beta[14]",-1.45,1,-3.4,-1.44,0.56,1,9655
"gamma",0,0,0,0,0,1,15624
"sigma",1.12,0.16,0.86,1.1,1.49,1,10055
