"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-7.79,8.38,-24.06,-7.85,8.68,1,9652
"beta[2]",0.04,0.18,-0.32,0.04,0.41,1,15524
"beta[3]",0.82,0.77,-0.69,0.83,2.32,1,9502
"beta[4]",1.08,0.76,-0.4,1.08,2.58,1,13888
"beta[5]",1.13,0.56,0.02,1.13,2.25,1,12476
"beta[6]",-3.01,0.61,-4.21,-3,-1.82,1,10933
"beta[7]",1.85,0.53,0.81,1.85,2.9,1,13123
"beta[8]",0.09,0.71,-1.32,0.09,1.49,1,9231
"beta[9]",0.51,0.49,-0.46,0.52,1.48,1,15767
"beta[10]",-0.75,0.65,-2.05,-0.75,0.52,1,13118
"beta[11]",2.06,0.6,0.9,2.05,3.23,1,11289
"beta[12]",-0.24,0.93,-2.08,-0.25,1.58,1,7568
"gamma",0,0,0,0,0,1,15378
"sigma",1.16,0.15,0.91,1.14,1.5,1,11752
