"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",-7.15,8.34,-22.91,-7.26,9.7,1,5736
"beta[2]",-0.35,0.69,-1.68,-0.37,1.07,1,4545
"beta[3]",0.7,0.82,-0.94,0.71,2.25,1,5076
"beta[4]",2.69,0.65,1.38,2.69,3.96,1,7824
"beta[5]",-1.83,0.72,-3.23,-1.85,-0.34,1,5171
"beta[6]",1.11,0.5,0.1,1.12,2.08,1,8247
"beta[7]",0.4,1.1,-1.71,0.37,2.7,1,4703
"beta[8]",0.99,0.49,0.07,0.98,2,1,7222
"beta[9]",-0.13,0.51,-1.16,-0.12,0.85,1,10646
"beta[10]",1.52,0.76,-0.02,1.54,3,1,5246
"gamma",0.01,0.01,0,0.01,0.02,1,5158
"sigma",0.68,0.17,0.44,0.65,1.08,1,4909
