"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",4.93,9.45,-13.56,4.97,23.35,1,11295
"beta[2]",-3.34,1.81,-6.87,-3.35,0.24,1,8723
"beta[3]",-0.72,0.68,-2.07,-0.72,0.61,1,10660
"beta[4]",0.14,0.89,-1.62,0.14,1.88,1,10698
"beta[5]",-1.02,0.99,-3.02,-1.01,0.92,1,14714
"beta[6]",1.67,0.91,-0.13,1.68,3.46,1,10650
"beta[7]",-0.19,0.89,-1.92,-0.2,1.58,1,9705
"beta[8]",3.15,0.79,1.6,3.14,4.72,1,12924
"beta[9]",0.59,0.95,-1.3,0.59,2.43,1,11648
"beta[10]",0.78,0.91,-1,0.77,2.59,1,12971
"beta[11]",-2.43,1.25,-4.88,-2.42,0.02,1,10791
"beta[12]",0.97,0.87,-0.73,0.98,2.67,1,9854
"beta[13]",0.2,1.15,-2.05,0.19,2.5,1,11035
"beta[14]",-1.66,0.85,-3.34,-1.66,0.01,1,10333
"beta[15]",-1.73,1.03,-3.75,-1.73,0.3,1,12455
"beta[16]",-1.3,1.46,-4.22,-1.3,1.52,1,8784
"gamma",0,0,0,0,0,1,21005
"sigma",1.82,0.2,1.48,1.81,2.28,1,11066
