"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",6.23,9.37,-12.03,6.24,24.54,1,11684
"beta[2]",-2.84,1.37,-5.51,-2.85,-0.14,1,8524
"beta[3]",-0.5,0.27,-1.04,-0.5,0.03,1,15043
"beta[4]",0.56,0.85,-1.09,0.56,2.24,1,11735
"beta[5]",-1.01,0.95,-2.89,-1,0.87,1,13959
"beta[6]",1.43,0.76,-0.04,1.43,2.93,1,12406
"beta[7]",0,0.82,-1.6,0,1.61,1,9254
"beta[8]",3.11,0.77,1.59,3.11,4.64,1,13171
"beta[9]",0.68,0.85,-0.99,0.67,2.34,1,12328
"beta[10]",0.76,0.89,-0.97,0.77,2.47,1,10712
"beta[11]",-2.42,1.21,-4.81,-2.42,-0.06,1,9492
"beta[12]",0.85,0.83,-0.77,0.85,2.49,1,9163
"beta[13]",0.28,1.12,-1.93,0.29,2.47,1,9013
"beta[14]",-1.72,0.81,-3.32,-1.72,-0.14,1,9627
"beta[15]",-1.56,1.02,-3.54,-1.56,0.46,1,11160
"beta[16]",-1.05,1.24,-3.48,-1.04,1.4,1,7828
"gamma",-2.55,0.53,-3.59,-2.55,-1.51,1,15434
"sigma",1.79,0.19,1.45,1.77,2.22,1,12095
