"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta[1]",7.05,9.34,-11.14,7,25.28,1,10868
"beta[2]",0.91,1.52,-2.06,0.92,3.9,1,9142
"beta[3]",-0.09,0.26,-0.61,-0.09,0.42,1,12400
"beta[4]",-0.42,0.86,-2.11,-0.42,1.26,1,10641
"beta[5]",-0.72,1.27,-3.28,-0.72,1.77,1,10071
"beta[6]",3.83,1.49,0.89,3.84,6.73,1,10323
"beta[7]",-1.34,1.29,-3.86,-1.34,1.22,1,9543
"beta[8]",1.14,0.68,-0.22,1.15,2.48,1,16772
"beta[9]",0.83,0.77,-0.7,0.82,2.34,1,11858
"beta[10]",3.29,0.71,1.89,3.29,4.68,1,12336
"beta[11]",-1.27,0.96,-3.19,-1.28,0.6,1,10321
"beta[12]",-1.18,0.74,-2.64,-1.18,0.29,1,13721
"beta[13]",-0.98,1.01,-2.97,-0.97,1.03,1,12368
"beta[14]",0.38,0.74,-1.08,0.39,1.84,1,12133
"beta[15]",-3.93,1.49,-6.84,-3.93,-1.02,1,8336
"gamma",0,0,0,0,0,1,15321
"sigma",1.76,0.19,1.43,1.74,2.19,1,12898
