variable,mean,sd,min,med,max,n.valid,pct.valid
canada,0.36666666666666664,0.4859611014169709,0,0,1,60,100
ce,0.35,0.4809947319913076,0,0,1,60,100
cult,0.5166666666666667,0.5039392842990978,0,1,1,60,100
forest,0.2833333333333333,0.45441960250548497,0,0,1,60,100
lninc,11.274763866,0.21630625173995396,10.90227951,11.29636426,11.74636426,60,100
lnwtp,4.4088044127,1.6438511948621573,0,4.5656458405,7.561,60,100
lnyear,2.0257628177,1.3263410541364755,0,1.512,7.606884531,60,100
local,0.36666666666666664,0.4859611014169709,0,0,1,60,100
lumpsum,0.3333333333333333,0.4753826885415284,0,0,1,60,100
median,0.18333333333333332,0.39020492949942304,0,0,1,60,100
nema,0.25,0.4366668823046865,0,0,1,60,100
nmw,0.2,0.4033755872716886,0,0,1,60,100
nrev,0.4666666666666667,0.5030977485864634,0,0,1,60,100
obsid,1185.7666666666667,98.12934505835612,1011,1196,1312,60,100
prov,0.4666666666666667,0.5030977485864634,0,0,1,60,100
q0,276767.01666666666,530775.6909935473,0,11997,2131000,60,100
q1,356061.55,673530.1220721734,1408,14885,2382000,60,100
reg,0.7,0.4621247905424446,0,1,1,60,100
sagulf,0.11666666666666667,0.3237317715130933,0,0,1,60,100
studyid,118.35,9.804573474504087,101,119.5,131,60,100
volunt,0.2,0.4033755872716886,0,0,1,60,100
wlfresh,0.7166666666666667,0.45441960250548497,0,1,1,60,100
